publisher,extract_at,page_link,name
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Dom%C3%ADnio-P%C3%BAblico-1-Chip-Zdarsky/dp/655448163X/ref=sr_1_11?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-11,Domínio Público – volume 1
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/POWER-RANGERS-TARTARUGAS-NINJA-Parrott/dp/6554481648/ref=sr_1_12?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-12,POWER RANGERS E TARTARUGAS NINJA
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Borboleta-Assassina-mang%C3%A1-2-3/dp/6589912769/ref=sr_1_13?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-13&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,Borboleta Assassina (mangá volume 2 de 3)
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Borboleta-Assassina-mang%C3%A1-1-3/dp/6589912998/ref=sr_1_14?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-14,Borboleta Assassina (mangá volume 1 de 3)
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Blueberry-Edi%C3%A7%C3%A3o-Definitiva-2-4/dp/6589912971/ref=sr_1_15?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-15&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,Blueberry Edição Definitiva – Volume 2 de 4
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/VIS%C3%95ES-GROTESCAS-Perturbadora-Junji-artbook/dp/6589912688/ref=sr_1_16?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-16&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,VISÕES GROTESCAS: A Arte Perturbadora de Junji Ito (artbook de luxo)
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Mandala-Fogo-mang%C3%A1-%C3%BAnico-Shimomoto-ebook/dp/B0CQ3D8XRB/ref=sr_1_17?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.oa4FN5aKfjbdT5VuG6rHpwgE8yhk2EGKrjxEGiXx3QDzEkTFW8xMpZO9YPRT0AkG3Z12cmwZXrfx9lZsLce5xNG4XBs-fdXHKzc_6eiLIpJ-1Y4OJ0r3aES03218lIy0kzwsZpUSltMz-ocVXhKSxq1PHnoI70ditJrsd5anqSUwyP6pWvab4WDe21iimgMzJVNaFmIloskHQUIie_s5JXocUc--CAdshgK1hScrPoE.AmMP-HzwOeIq38cgUA78dr0mvVjcI-vf6Nr9ZQkFot0&dib_tag=se&qid=1712663705&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-17,Mandala de Fogo (mangá volume único)
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Armas-Metabar%C3%B5es-Cole%C3%A7%C3%A3o-COLE%C3%87%C3%83O-METABAR%C3%95ES/dp/6589912661/ref=sr_1_18?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.oa4FN5aKfjbdT5VuG6rHpwgE8yhk2EGKrjxEGiXx3QDzEkTFW8xMpZO9YPRT0AkG3Z12cmwZXrfx9lZsLce5xNG4XBs-fdXHKzc_6eiLIpJ-1Y4OJ0r3aES03218lIy0kzwsZpUSltMz-ocVXhKSxq1PHnoI70ditJrsd5anqSUwyP6pWvab4WDe21iimgMzJVNaFmIloskHQUIie_s5JXocUc--CAdshgK1hScrPoE.AmMP-HzwOeIq38cgUA78dr0mvVjcI-vf6Nr9ZQkFot0&dib_tag=se&qid=1712663705&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-18&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,As Armas dos Metabarões + Caixa da Coleção (Volume 3 de 3 da COLEÇÃO METABARÕES)
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Tartarugas-Ninja-%C3%9Altimo-Peter-Laird/dp/6554480471/ref=sr_1_19?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.oa4FN5aKfjbdT5VuG6rHpwgE8yhk2EGKrjxEGiXx3QDzEkTFW8xMpZO9YPRT0AkG3Z12cmwZXrfx9lZsLce5xNG4XBs-fdXHKzc_6eiLIpJ-1Y4OJ0r3aES03218lIy0kzwsZpUSltMz-ocVXhKSxq1PHnoI70ditJrsd5anqSUwyP6pWvab4WDe21iimgMzJVNaFmIloskHQUIie_s5JXocUc--CAdshgK1hScrPoE.AmMP-HzwOeIq38cgUA78dr0mvVjcI-vf6Nr9ZQkFot0&dib_tag=se&qid=1712663705&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-19&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,Tartarugas Ninja: O Último Ronin
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Zona-Fantasma-Junji-Ito-ebook/dp/B0CLKZYR4W/ref=sr_1_20?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.oa4FN5aKfjbdT5VuG6rHpwgE8yhk2EGKrjxEGiXx3QDzEkTFW8xMpZO9YPRT0AkG3Z12cmwZXrfx9lZsLce5xNG4XBs-fdXHKzc_6eiLIpJ-1Y4OJ0r3aES03218lIy0kzwsZpUSltMz-ocVXhKSxq1PHnoI70ditJrsd5anqSUwyP6pWvab4WDe21iimgMzJVNaFmIloskHQUIie_s5JXocUc--CAdshgK1hScrPoE.AmMP-HzwOeIq38cgUA78dr0mvVjcI-vf6Nr9ZQkFot0&dib_tag=se&qid=1712663705&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-20,Zona Fantasma
