format	download_at	full_price	name	publisher	release_date	pages	dimensions	ISBN-10	ISBN-13	customers_review	about	height	width	depth
CAPA DURA	2024-04-09T09:08:37.323626	139.9	Antes Do Incal (volume 2 Da Série Todo Incal)	PIPOCA E NANQUIM	2021-07-29	296	21 x 28 x 2 cm	6586672325	978-6586672329	4.9	O retorno a um dos universos mais imaginativos e aclamados dos quadrinhos! Chegou a hora de acompanhar as aventuras do jovem John Difool antes de se tornar o mais famoso anti-herói da ficção científica! Esse é o início da jornada épica que transformou o famigerado detetive de classe “R” no homem que mudaria o destino de todo o cosmo. Neste segundo volume da coleção TODO INCAL, testemunhamos John em busca de suas origens enquanto enfrenta perigosos conflitos e uma grande conspiração, seu primeiro encontro com Deepo e a aparição de personagens memoráveis, como Metabarão e Diavaloo, que colorem o extraordinário mundo criado por Alejandro Jodorowsky, desta vez, ao lado do excepcional artista Zoran Janjetov. Os três volumes da coleção TODO INCAL têm capa dura com verniz localizado e miolo colorido em papel couché de alta gramatura, extras exclusivos, e o terceiro vem acompanhado de uma caixa especial para a coleção e do conteúdo completo do livro Os Mistérios do Incal, sobre os bastidores de produção da saga. Leia mais	28.0	21.0	2.0
CAPA DURA	2024-04-08T21:34:13.768992	400.0	Conan, O Cimério – Edição Definitiva (volume 1 de 4)	PIPOCA E NANQUIM	2022-05-20	268	32 x 24 x 2 cm	6589912084	978-6589912088	4.8	Conan, o mais notório herói criado pelo cultuado escritor Robert Erwin Howard, é o astro da coleção de quadrinhos franceses Conan, o Cimério, trazida ao Brasil pela Pipoca & Nanquim em versão definitiva. Lançadas originalmente pela editora Glénat, estas histórias do bárbaro apresentam 16 releituras dos principais contos do personagem, inicialmente imortalizados nas páginas da lendária revista pulp Weird Tales e, posteriormente, lançados como livros e compilações em formatos variados. Cada volume francês é produzido por uma equipe criativa diferente, que, em sua totalidade, compreende os artistas mais talentosos de sua geração, portanto esta é a oportunidade perfeita para mergulhar no rico universo da Era Hiboriana pela primeira vez ou revisitá-lo por meio de novos olhares. Esta primeira edição definitiva reúne as quatro iniciais publicadas na França: a Rainha da Costa Negra, de Jean-David Morvan (Wolverine: Saudade), Pierre Alary (Don Vega: Zorro e Simbad) e o artista espanhol Sedyas (Spellbound e a série Remington), que mostra o encontro de Conan com a pirata Bêlit; o Colosso Negro, de Vincent Brugeas (Block 109 e The Regiment) e Ronan Toulhoat (Chaos Team e le Roy dês Ribauds), em que o cimério enfrenta uma ameaça ancestral renascida; Além do Rio Negro, de Mathieu Gabella (Idoles e 3 Souhaits) e Anthony Jean (Le Grimoired e la Licorne), um registro histórico do enfrentamento de homens civilizados e pictos; e, finalmente, a Filha do Gigante do Gelo, de Robin Recht (Elric: o Trono de Rubi e Elric: o Lobo Branco), uma das histórias mais amadas pelos aficionados por Conan. Conan, o Cimério – Edição Definitiva Vol. 1 tem formato 23 x 31 cm, capa dura, 268 páginas coloridas e uma galeria de extras com textos, ilustrações e esboços sobre a criação da série. Uma verdadeira ode ao gênero Espada & Feitiçaria. Leia mais	32.0	24.0	2.0
CAPA DURA	2024-04-08T21:34:17.468945	129.9	Horácio Completo Vol. 3 de 4	PIPOCA E NANQUIM	2022-05-13	308	28 x 21 x 2 cm	6589912149	978-6589912149	4.9	A editora Pipoca & Nanquim e a Mauricio de Sousa Produções orgulhosamente apresentam a coleção HORÁCIO COMPLETO, que reúne pela primeira vez TODOS os tabloides escritos e desenhados única e exclusivamente por MAURICIO de SOUSA e publicados em jornais ao longo de mais de três décadas, desde 1963. Não é segredo que o Horácio é uma espécie de xodó de Mauricio de Sousa, o pai da Turma da Mônica e o maior e mais famoso quadrinista do Brasil. Criado originalmente como coadjuvante para as tiras do Piteco, tempos depois, o simpático dinossauro que ama alface estreou sua própria série semanal, que foi publicada na Folhinha, o suplemento infantojuvenil da Folha de S.Paulo, e, depois, no Estadinho, do jornal Estado de S. Paulo. Esta luxuosa coleção em quatro volumes traz, em ordem cronológica, os mais de mil tabloides do Horácio produzidos por Mauricio e publicados nesses dois jornais, e também alguns inéditos, além de uma rica galeria de extras informativos sobre a carreira do artista e a produção desses quadrinhos. Mais do que um dinossaurinho de papel, Horácio é a representação de todos os sentimentos e filosofias de seu criador. Então, prepare-se, pois a Pré-História nunca foi tão divertida e cheia de significados. Este é um valioso RESGATE HISTÓRICO para os brasileiros, e certamente será presença confirmada na estante de todos os leitores que aprenderam a amar os quadrinhos graças ao trabalho de Mauricio de Sousa. Os quatro volumes terão capa dura com verniz localizado e mais de 300 páginas coloridas em papel couché de alta gramatura, sendo que o quarto (previsto para agosto de 2022) virá acompanhado de uma caixa especial para acomodar toda a coleção. Após quase 30 anos, um dos mais longevos trabalhos do mestre do quadrinho nacional deixa os arquivos para ganhar o mundo em edições dignas dos colecionadores. Leia mais	28.0	21.0	2.0
CAPA COMUM	2024-04-15T15:02:47.382924	89.9	Calendar - Edição Especial	EDITORA JBC	2023-08-9	448	15 x 2 x 21 cm	6555944803	978-6555944808	4.0	Esta é uma estória de mudanças e crescimento e também é uma demonstração que o nosso maior pesadelo pode ser perder o controle de nossas vidas, mas que isso, na realidade, é a chave que precisamos para alcançarmos patamares muito maiores do que planejamos se não permitirmos que isso vire uma pedra no caminho. Leia mais	21.0	15.0	2.0
CAPA COMUM	2024-04-09T11:36:51.351174	78.9	One Piece Vol. 1	PANINI	2024-05-20	192	20 x 13.6 x 1 cm	8573516976	978-8573516975	4.8	A tripulação pirata mais famosa dos quadrinhos finalmente joga sua âncora de novo no Brasil! Com roteiro e arte de Eiichiro Oda, o mangá de maior sucesso de todos os tempos retorna ao país, agora sob a bandeira Planet Mangá, da Panini Comics! Para ser o rei dos piratas, Luffy, o homem-borracha, precisa reunir uma tripulação e encontrar o maior de todos os tesouros. No caminho, enfrentará a Marinha, monstros, e muitos outros piratas que têm o mesmo objetivo. Então prepare-se pra encarar os perigos dos mares. A maior aventura de todas vai recomeçar! Leia mais	20.0	13.6	1.0
CAPA COMUM	2024-04-15T15:02:57.405480	44.9	Quack! - Vol. 01	EDITORA JBC	2023-08-9	192	15 x 1 x 21 cm	6555944676	978-6555944679	8.0	O jovem Baltazar Drumont vem de uma família lendária de aviadores e tem um amigo falante e debochado, o pato Colombo. Juntos, eles se aventuram em poucas e boas para conseguir sobreviver, pagar as contas e entender as responsabilidades da vida adulta. E como se não bastasse, eles precisam se livrar de uma dívida com um agiota bem sinistro. Leia mais	21.0	15.0	1.0
CAPA COMUM	2024-04-09T11:37:05.487100	36.9	Shangri-la Frontier - 02	PANINI	2024-05-20	200	13.7 x 1.5 x 20 cm	6559604306	978-6559604302	4.9	"Sunraku decide encarar o jogo divino ""Shangri-la Frontier"", mas foi derrotado por Licaonte, o Predador Noturno! Agora, diante de uma restrição que o impede de usar equipamentos no torso e nas pernas, ele segue em frente com sua aventura acompanhado pelo coelho vorpal Ellym, explorando um cenário único!! Contudo, nos bastidores, os melhores jogadores se organizam para encontrá-lo e descobrir o que ele sabe! Inclusive uma amiga que encarava jogos-lixo ao seu lado...?! Começa o segundo volume desta sensação do momento, uma aventura que mistura jogos e fantasia!! Leia mais"	20.0	13.7	1.5
CAPA COMUM	2024-04-09T11:37:20.575021	36.9	Shangri-la Frontier Vol. 1	PANINI	2024-05-20	208	13.7 x 1.8 x 20 cm	6559606872	978-6559606870	4.8	"Rakurou Hizutome, um rapaz apaixonado por ""jogos ruins"", encontra seu próximo desafio em ""Shangri-la Frontier"", que é conhecido como ""o jogo divino""! Em um mundo imenso com 30 milhões de participantes, Rakurou conhecerá novos companheiros, encontrará um antigo rival e também mudará o destino de todos os jogadores! Leia mais"	20.0	13.7	1.8
CAPA COMUM	2024-04-15T15:03:07.471647	54.9	Yona - A Princesa do Alvorecer - BIG - Vol. 01	EDITORA JBC	2023-08-7	384	13.2 x 4 x 20 cm	6555944552	978-6555944556	288.0	A princesa Yona vive uma vida ideal como a única princesa de seu reino. Muito querida por seu pai, o rei, e protegida por seu fiel guarda Hak, ela passa o tempo admirando o homem que ama, Su-won. Mas tudo muda em seu aniversário de 16 anos, quando uma tragédia atinge sua família! Yona cambaleia com o choque de testemunhar o assassinato de um ente querido e ter que lutar por sua vida. Com a ajuda de Hak, ela foge do palácio e luta para sobreviver enquanto se esconde das forças inimigas. Mas para onde irá esta princesa deslocada quando todos os caminhos diante dela são incertos? Leia mais	20.0	13.2	4.0
CAPA COMUM	2024-04-15T15:03:18.503771	37.9	My Hero Academia - Boku no Hero - Vol. 35	EDITORA JBC	2023-07-25	192	13.5 x 1.2 x 20.5 cm	6555944587	978-6555944587	237.0	"""Midoriya herda o superpoder do maior herói do mundo, mas a grandeza não será fácil.Como seria o mundo se 80% da população manifestasse superpoderes chamados “Peculiaridades”? Heróis e vilões estariam lutando em todos os lugares! Ser um herói significaria aprender a usar seu poder, mas onde você iria estudar? A Academia de Heróis, é claro! Mas o que você faria se fosse um dos 20% que nasceram sem individualidade?A guerra final entre heróis e vilões se aproxima em um futuro próximo, quando os dois lados se reagrupam. Os heróis do Japão tecem seus planos na preparação, mas vão espionar dentro da U.A. entregar tudo? Os alunos do Curso de Heróis também terão seus papéis a desempenhar, e o próprio Midoriya terá um papel importante. Se tudo der certo, os heróis esperam dividir e conquistar, mas mesmo os melhores planos raramente sobrevivem ao contato com o inimigo..."" Leia mais"	20.5	13.5	1.2
