format	download_at	full_price	name	publisher	release_date	pages	dimensions	ISBN-10	ISBN-13	customers_review	about	height	width	depth
CAPA COMUM	2024-04-09T10:58:00.024742	13.0	Fullmetal Alchemist - V. 27	JBC	2008-01-1	104		8577870529	978-8577870523			23.6	16.2	1.8
CAPA COMUM	2024-04-09T10:58:32.100502	15.0	Fullmetal Alchemist - V. 26	JBC	2008-01-1	104		8577870499	978-8577870493			23.6	16.2	1.8
CAPA COMUM	2024-04-09T10:58:55.456329	14.99	Fullmetal Alchemist - V. 24	JBC	2008-01-1	104		8577870375	978-8577870370			23.6	16.2	1.8
CAPA COMUM	2024-04-09T10:59:06.512248	6.5	Hellsing - V. 03	JBC	2008-01-1	96	2 x 20 x 14 cm	8577870251	978-8577870257		Soturnos e sorrateiros. Filhos das trevas, tomando a noite, reinando na escuridão. Vampiros vagam pela Terra, e as únicas marcas que deixam por onde passam são o sangue humano. Leia mais	20.0	14.0	2.0
CAPA COMUM	2024-04-09T10:59:22.620131	17.28	Hellsing - V. 02	JBC	2008-01-1	120	2 x 20 x 14 cm	8577870014	978-8577870011	5.0	Soturnos e sorrateiros. Filhos das trevas, tomando a noite, reinando na escuridão. Vampiros vagam pela Terra, e as únicas marcas que deixam por onde passam são o sangue humano. Leia mais	20.0	14.0	2.0
CAPA COMUM	2024-04-09T10:59:39.708008	13.5	Death Note - V. 02	JBC	2007-01-1	200		8587679937	978-8587679932	5.0	Libro usado en buenas condiciones, por su antiguedad podria contener señales normales de uso Leia mais	20.0	14.0	2.0
CAPA DURA	2024-04-08T21:38:17.673899	90.0	Os Mitos de Cthulhu - Volume Único (Exclusivo Amazon)	PIPOCA E NANQUIM	2019-06-7	92	27.8 x 21 x 1.2 cm	8593695264	978-8593695261	4.6	Os portais do nosso mundo foram abertos para que os terrores cósmicos nos invadam! E agora a humanidade se encontra indefesa e à mercê de toda sorte de criaturas pavorosas que se originaram nos pesadelos, dimensões alternativas e abismos sombrios que existem secretamente neste e em outros mundos. Em Os Mitos de Cthulhu, somos apresentados a três dos contos mais celebrados do mestre do horror do século XX, H.P. Lovecraft, transformados em histórias em quadrinhos pelo incomparável artista espanhol Esteban Maroto (Cinco por Infinito, Espadas e Bruxas)! Desta união inominável, os clássicos A Cidade Sem Nome, O Cerimonial e O Chamado de Cthulhu ganharam novos contornos para assombrar ainda mais a nossa existência mortal. Mesmo que mais de oitenta anos tenham se passado após sua morte, Lovecraft continua inigualável no gênero do horror, influenciando autores modernos como Alan Moore, Neil Gaiman e Stephen King; por sua vez, ao adaptar em imagens os textos de Lovecraft, Maroto prova de forma incontestável que tem um traço vigoroso e impressionantemente atemporal. Por quase 40 anos, esta obra ficou praticamente perdida e envolta em casualidades dos mais diversos tipos, com suas histórias sendo publicadas de maneira fragmentada por diferentes editoras estrangeiras e sem o devido apreço, mas agora, finalmente, ela foi resgatada e chega ao Brasil em uma edição definitiva e repleta de extras, com 92 páginas, capa dura e miolo em papel couché de alta gramatura. Leia mais	27.8	21.0	1.2
CAPA COMUM	2024-04-09T11:04:24.442076	45.0	Yu Yu Hakusho Anime Comics - Vol.2	JBC	2005-01-1	166					Um enorme cataclismo abala o Mundo Espiritual!! Isso foi obra de Yakumo, rei do Meikai, para conseguir libertar o seu mundo macabro, o Mundo de Hades! Yusuke e seus amigos se unem para deter as ambições malignas deste novo e perigoso inimigo. Prepara-se para a mais eletrizante batalha de todos os tempos!! Leia mais	27.8	21.0	1.2
CAPA COMUM	2024-04-09T11:04:37.573992	9.5	Mouse - Vol.1	JBC	2005-01-1	195	1 x 21 x 14 cm			5.0	Professor Sorata Muon é um jovem de 20 anos que por trás de sua aparência tímida esconde a identidade do lendário ladrão Mouse. Ele é capaz de realizar os mais inusitados roubos nos lugares mais improváveis. Ajudado por suas três lindas assistentes,Mei Momozono, Hazuki Kakio e Yayoi Huribayashi, o audacioso Mouse segue enlouquecendo a polícia, a mulherada e ganhando destaque na mídia. Agora, seu próximo alvo é a recém construída Torre Odaiba, será que o charmoso ladrão de casaca conseguirá roubar um edíficio?! Não há nada que o Mouse não possa roubar? Leia mais	21.0	14.0	1.0
CAPA COMUM	2024-04-09T11:04:50.609908	14.99	Fullmetal Alchemist - V. 10	JBC	2005-01-1	120	2 x 18 x 13 cm	8587679899	978-8587679895		Depois de ajudarem Winry a realizar um parto, chega a hora dos irmãos Elric seguirem viagem. Enquanto a amiga fica em Rush Valley para aprender novas técnicas de fabricação de automails, Ed e Al, morrendo de medo, seguem para Dublith para reencontar a pessoa que os treinou em luta e alquimia. Leia mais	18.0	13.0	2.0
CAPA COMUM	2024-04-09T11:05:13.189764	6.0	Fullmetal Alchemist - V. 05	JBC	2005-01-1	86	2 x 18 x 13 cm	8587679805	978-8587679802		Depois do encontro com Doutor Marcoh, Ed e Al finalmente voltam a Resembool acompanhados de Louis Armstrong. O Alquimista dos Braços Poderosos conhece um pouco mais sobre os irmãos Elric através da única família que resta aos garotos, a última ligação entre seu presente e seu passado… Leia mais	18.0	13.0	2.0
CAPA DURA	2024-04-08T21:38:21.681848	129.9	Druuna Vol. 1 - Exclusivo Amazon	PIPOCA E NANQUIM	2019-05-27	308	28 x 22 x 2.2 cm	859369523X	978-8593695230	4.8	Druuna, a saga definitiva de erotismo, ficção científica e horror, do cultuado artista italiano Paolo Eleuteri Serpieri, finalmente está de volta ao Brasil; e dessa vez completa! Em um futuro longínquo e distópico, a humanidade está ameaçada de extinção por causa de uma terrível doença que transforma as pessoas em monstruosas criaturas mutantes, e a bela Druuna inadvertidamente se torna a única esperança de seu povo. A morena voluptuosa acaba descobrindo um segredo guardado a sete-chaves pelos senhores opressores de seu mundo, os Sacerdotes… um segredo que modificará a maneira de encarar a realidade e mudará para sempre seu destino. Agora ela deve suportar o fardo depositado em seus ombros e expor a verdade para um mundo corrompido e obsceno, ao mesmo tempo em que busca sobreviver nesse meio de barbárie onde impera o autoritarismo e a lei do mais forte. Druuna é uma brisa de ar fresco num ambiente totalmente degenerado, onde mesmo aqueles que não sofreram algum tipo de mutação viraram monstros. Este é apenas o início de uma trama complexa, inteligente e tremendamente sensual, desenvolvida ao longo de décadas por um artista brilhante, que encontrou em seu ofício o veículo perfeito para desafiar o moralismo e tecer críticas pertinentes a temas como fanatismo, opressão, luta de classes, exploração da natureza e militarismo. Com influências de obras-primas dos quadrinhos como Barbarella e Valentina, e a virulência inovadora de filmes como Alien: O Oitavo Passageiro, Duna, Planeta dos Macacos, Blade Runner e 2001: Uma Odisseia no Espaço, Druuna é celebrada mundialmente como uma das maiores obras de erotismo já produzidas. O primeiro dos três volumes da editora Pipoca & Nanquim compila quatro dos dez álbuns originais que compõem a obra, Morbus Gravis, Delta, Criatura e Carnívora, além de uma galeria de esboços e ilustrações inéditas. Todos os volumes têm capa dura com verniz localizado e miolo em papel couché de alta gramatura, e o terceiro vem acompanhado de uma caixa especial para a coleção. Leia mais	28.0	22.0	2.2
CAPA COMUM	2024-04-09T11:05:34.853627	9.5	Hack. O Requisito do Herói - Volume 7	JBC	2004-01-1	100	18.03 x 12.19 x 0.51 cm	8587679686	978-8587679680		Shugo é um garoto que não gosta de jogos de RPG. Mas sua opinião está prestes a mudar radicalmente quando sua irmã gêmea Rena lhe apresenta o famoso jogo online do gênero chamado “The World”. Sucesso absoluto, o game já atraiu mais de 20 milhões de usuários para seu mundo de fantasia. Principiante, em seu primeiro ataque, Shugo quase morre. Entretanto, uma misteriosa garota chamada Aura o ressuscita e lhe entrega um estranho artefato que pertencia a um lendário grupo chamado “.hackers”. A aventura está para começar! Conheça o mundo do The World! Leia mais	18.03	12.19	0.51
CAPA COMUM	2024-04-09T11:05:47.925545	9.9	Hack. Net Slum - Volume 6	JBC	2004-01-1	100		8587679597	978-8587679598		Shugo é um garoto que não gosta de jogos de RPG. Mas sua opinião está prestes a mudar radicalmente quando sua irmã gêmea Rena lhe apresenta o famoso jogo online do gênero chamado “The World”. Sucesso absoluto, o game já atraiu mais de 20 milhões de usuários para seu mundo de fantasia. Principiante, em seu primeiro ataque, Shugo quase morre. Entretanto, uma misteriosa garota chamada Aura o ressuscita e lhe entrega um estranho artefato que pertencia a um lendário grupo chamado “.hackers”. A aventura está para começar! Conheça o mundo do The World! Leia mais	18.03	12.19	0.51
CAPA COMUM	2024-04-09T11:05:59.273473	16.0	Mangá Mouse Nº9	JBC	2003-01-1	194						18.03	12.19	0.51
CAPA COMUM	2024-04-09T11:06:04.517440	15.9	Princesa e o Cavaleiroribbon no Kishi, A - Vol.1	JBC	2003-01-1	88	2 x 18 x 13 cm				"Na primeira edição deste clássico criado pelo ""deus do mangá"", somos apresentados na Terra de Prata. A rainha vai ter um bebê e todo o reino está ansioso para conhecer o sucessor do trono. O problema é que nasce uma menina. Para não perder a Terra dePrata para o terrível Duque Duralumínio, o casal real resolve criar sua filha Safiri como se fosse um garoto.Quinze anos depois, Safiri se apaixona pelo Príncipe Franz mas não pode revelar seu segredo. E agora, como ficará a linda princesinha? Não perca o início deste lindo mangá! Leia mais"	18.0	13.0	2.0
CAPA COMUM	2024-04-09T11:06:31.737270	8.75	Hack. A Lenda dos Hackers - Volume 1	JBC	2002-01-1	100		8587679376	978-8587679376		Shugo é um garoto que não gosta de jogos de RPG. Mas sua opinião está prestes a mudar radicalmente quando sua irmã gêmea Rena lhe apresenta o famoso jogo online do gênero chamado “The World”. Sucesso absoluto, o game já atraiu mais de 20 milhões de usuários para seu mundo de fantasia. Principiante, em seu primeiro ataque, Shugo quase morre. Entretanto, uma misteriosa garota chamada Aura o ressuscita e lhe entrega um estranho artefato que pertencia a um lendário grupo chamado “.hackers”. A aventura está para começar! Conheça o mundo do The World! Leia mais	18.0	13.0	2.0
CAPA COMUM	2024-04-09T11:06:40.829214	10.0	Fullmetal Alchemist - 38 (Mangá)	JBC	2002-01-1	112		8577871207	978-8577871209	5.0		18.0	13.0	2.0
CAPA COMUM	2024-04-09T11:07:28.008922	39.9	Mabataki Yori Hayaku!! - Num Piscar de Olhos 07	PANINI	2024-07-12	216	13.7 x 1.4 x 20 cm	6525920752	978-6525920757		O Inter-Colegial finalmente começará! Em meio a poderosas veteranas, a escola Sakukita enfrenta sua primeira partida!As oponentes são o Colégio Feminino Kanda Izumi, capitaneadas por Kei Aizawa e consideradas campeãs inusitadas!Diante de oponentes poderosas e desconhecidas, como ficarão Himari e as meninas? E como será o andamento da partida…?! Leia mais	20.0	13.7	1.4
CAPA DURA	2024-04-09T09:09:50.199574	69.9	Beasts of Burden. Rituais Animais - Volume 1 Exclusivo Amazon	PIPOCA E NANQUIM	2017-09-29	188	28.2 x 19.8 x 1.6 cm	8593695035	978-8593695032	4.9	Bem-vindo a Burden Hill, uma pacata cidadezinha como qualquer outra, com cercas brancas e gramados aparados… lar de uma inusitada equipe de investigadores paranormais. Magia negra, sapos demoníacos e cães zumbis são alguns exemplos dos problemas que assolam a aparente tranquilidade dessa vizinhança. Com os habitantes humanos alheios ao perigo, cabe a um perseverante grupo de cachorros (e um gato) manter toda a comunidade a salvo. Terror, aventura, mistério e humor povoam cada página de Beasts of Burden, que promete ganhar o coração do leitor e assombrar seus sonhos. Leia mais	28.2	19.8	1.6
CAPA DURA	2024-04-08T21:38:13.697949	70.0	O Ninguém - Volume Único	PIPOCA E NANQUIM	2019-06-21	156	26.8 x 17.6 x 1.4 cm	8593695272	978-8593695278	4.6	A pequena cidade de Boca Larga nunca vivenciou muita agitação – até a chegada de um estranho envolto em bandagens dos pés à cabeça. Movida pela curiosidade, uma adolescente solitária chamada Vickie se aproxima do homem e tenta descobrir a verdade por trás do visual suspeito. Mas, quando acontece um crime, toda a cidadezinha se volta contra o estranho e passa a caçá-lo, ameaçando desmascarar um terrível segredo! Em O NINGUÉM, o consagrado autor Jeff Lemire retoma o eterno personagem criado por H.G. Wells em O Homem Invisível, o leva a uma cidade do interior dos dias atuais e o usa como chave para explorar temas como identidade, medo e paranoia, mostrando como isso tudo pode transformar uma comunidade inteira e destruir até mesmo a mais pura amizade. A edição da Editora Pipoca & Nanquim tem capa dura com verniz texturizado, formato americano, miolo em papel couché de alta gramatura impresso em duas cores e extras exclusivos. Leia mais	26.8	17.6	1.4
CAPA COMUM	2024-04-09T11:02:28.006841	230.0	Defensores de Toquio	JBC	2006-01-1	96	25.8 x 17.8 x 0.4 cm	8587679368	978-8587679369	5.0	Agora ficou fácil se transformar no seu herói preferido. Um manual ideal para principiantes e iniciados: Ótima fonte de informações vitais para aprender RPG sem complicações. Leia mais	25.8	17.8	0.4
CAPA COMUM	2024-04-09T11:02:35.098793	10.0	Fullmetal Alchemist - V. 16	JBC	2006-01-1	112	2 x 18 x 13 cm	8577870200	978-8577870202	5.0	Ed e Al vão visitar Winry, obviamente por causa do automail destruído, e ela não fica muito feliz ao saber a razão da presença dos irmãos Elric. Leia mais	18.0	13.0	2.0
CAPA COMUM	2024-04-09T11:02:44.174733	4.99	Fullmetal Alchemist - V. 15	JBC	2006-01-1	90	2 x 18 x 13 cm	8577870197	978-8577870196	5.0	King Bradley não só captura Ganância, como também extermina seus capangas. Inclusive a garota que estava escondida dentro da armadura de Al. Leia mais	18.0	13.0	2.0
CAPA COMUM	2024-04-09T11:02:56.262652	12.26	Fullmetal Alchemist - V. 14	JBC	2006-01-1	100	2 x 18 x 13 cm	8577870030	978-8577870035	5.0	Ed termina o relatório e volta para Dublin. Só para ter a notícia que haviam seqüestrado Al. Ele vai atrás do irmão sozinho, mas é seguido pelo Major Armstrong e King Bradley. Leia mais	18.0	13.0	2.0
CAPA COMUM	2024-04-09T11:03:21.798484	28.0	Fullmetal Alchemist - V. 01	JBC	2005-01-1	104	2 x 18 x 13 cm	8587679619	978-8587679611	5.0	A história de dois alquimistas à procura da pedra filosofal. Resumido assim, o enredo pareceria bem trivial… Mas em Fullmetal Alchemist nem tudo é o que parece ser, a começar por esta definição da busca dos irmãos Elric. Leia mais	18.0	13.0	2.0
CAPA COMUM	2024-04-09T11:03:41.990351	2.2	Fullmetal Alchemist - V. 12	JBC	2005-01-1	104	2 x 18 x 13 cm	8587679910	978-8587679918		Ainda nas memórias de Ed, descobre-se como o garoto conseguiu forças para ter vontade de lutar e recuperar o corpo do irmão, decidindo colocar as próteses de automail e juntar-se aos Alquimistas Federais. No entanto, sua mestra não gosta tanto de sua idéia de aliar-se aos cães do exército. ... Leia mais	18.0	13.0	2.0
CAPA COMUM	2024-04-09T11:03:54.222272	9.0	Fullmetal Alchemist - V. 11	JBC	2005-01-1	104	2 x 18 x 13 cm	8587679902	978-8587679901	4.4	Depois de serem deixados na ilha com um enigma a ser descoberto, Al e Ed percebem que as dificuldades, que a princípio são tão complicadas, acabam se tornando triviais e até simples.E conseguem o tão sonhado treinamento. Leia mais	18.0	13.0	2.0
CAPA COMUM	2024-04-15T14:40:27.640922	39.9	Blue Exorcist Vol. 28	EDITORA JBC	2024-06-7	224	13.5 x 1.2 x 20.5 cm	6555945931	978-6555945935		"""Criado pelo Padre Fujimoto, um famoso exorcista, Rin Okumura nunca conheceu seu verdadeiro pai. Um dia, uma discussão fatídica com o Padre Fujimoto força Rin a enfrentar uma terrível verdade: o sangue do senhor demônio Satanás corre nas veias de Rin! Rin jura derrotar Satanás, mas isso significa entrar na misteriosa True Cross Academy e se tornar um exorcista.Quando Shiemi confronta seu antigo inimigo Amaimon, o rei demônio da terra não entende o quão poderoso Shiemi se tornou. Mas para que Shiemi alcance seu destino, ela também precisa perceber sua própria força! De volta a Assiah, Satanás e seus asseclas enfrentam Mephisto e os Cavaleiros da Verdadeira Cruz para determinar o destino do mundo. Depois de receber alguns power-ups encantados, os Exwires se preparam para implementar seu plano de batalha. O próprio Rin faz parte da vanguarda que visa enfrentar o inimigo de frente. Chegou a hora de Rin cumprir sua promessa de derrotar Satanás, o Rei dos Demônios!"" Leia mais"	20.5	13.5	1.2
CAPA COMUM	2024-04-09T11:07:38.136860	39.9	Jujutsu Kaisen: Batalha de Feiticeiros Vol. 25	PANINI	2024-06-28	208	13.7 x 1.3 x 20 cm	6525916100	978-6525916101		Para ter o controle total do corpo de Fushiguro, Sukuna quer assassinar Tsumiki, dona do corpo em que Yorozu encarnou. Enquanto isso, Itadori e seus amigos tentam trazer Gojou de volta com o poder do Anjo, após Kurusu escapar da morte por um triz. Sukuna, o mais poderoso de todos os tempos, e Gojou, o mais poderoso da atualidade... finalmente teremos o confronto entre essas duas figuras extraordinárias?! Leia mais	20.0	13.7	1.3
CAPA COMUM	2024-04-09T11:08:00.300725	49.9	Mob Psycho 100 (2 em 1) Vol. 4	PANINI	2024-06-28	392	13.7 x 2.5 x 20 cm	6525915945	978-6525915944		Mob segue fazendo bicos com seu mestre Reigen na “Aconselhamento Espiritual e Etc.”! Seja esclarecendo os mistérios de “lendas urbanas”, eliminando espíritos malignos que assolam colégios e plantações ou protegendo pessoas em locais mal-assombrados, os exorcismos seguem de vento em popa! Será que os pensamentos de Mob estão mudando aos poucos no decorrer desses trabalhos...?!! Leia mais	20.0	13.7	2.5
CAPA COMUM	2024-04-15T14:40:30.878998	69.9	Overlord - A Batalha dos Homens-Lagarto - Vol. 4 (Novel)	EDITORA JBC	2024-06-6	312	13.4 x 1.6 x 20.1 cm	6555946210	978-6555946215		Era o último dia do jogo online “Yggdrasil”. Momonga, jogador assíduo com um personagem de aparência esquelética, esperava calmamente o servidor de seu tão amado game ser encerrado. Porém, mesmo depois do tempo estipulado, ele não foi deslogado. Ao olhar ao seu redor, NPCs, personagens não-jogáveis, começam a agir e pensar por conta própria. Tudo levava a crer que ele fora enviado para uma outra realidade… Para tentar desvendar esse mistério, Momonga decide se tornar o maior feiticeiro desse novo mundo. Ele passa a descobrir a extensão de seus poderes, conquistar aliados e destruir os inimigos que surgem em seu caminho. É o começo da lenda da Guilda Ainz Ooal Gown!! Leia mais	20.1	13.4	1.6
CAPA COMUM	2024-04-15T14:40:33.972878	76.9	Parasyte Full Color Vol. 01	EDITORA JBC	2024-06-3	272	15 x 2.2 x 21 cm	6555946253	978-6555946253		Criaturas parasitas desconhecidas começam a surgir por toda a parte, tomando controle do corpo de pessoas comuns e se alimentando de outros seres humanos. Shinichi Izumi acaba “hospedando” uma dessas criaturas em sua mão direita. Os dois conseguirão viver em harmonia? Será que o mundo sobreviverá a essa invasão? Leia mais	21.0	15.0	2.2
CAPA COMUM	2024-04-09T11:08:10.472663	44.9	Pokémon: Heartgold & Soul Silver 02	PANINI	2024-06-28	272	13.7 x 1.7 x 20 cm	6525915929	978-6525915920		O Pokémon mítico Arceus aparece! Gold descobre onde Lance está com a ajuda de Morty, mas a cidade de Ecruteak logo é transformada em um violento campo de batalha!!Silver e Crys se juntam a Gold desviando-se da perseguição dos Quatro Generais da Equipe Rocket!O palco se desloca de um território misterioso em direção às Ruínas de Sinoh! Leia mais	20.0	13.7	1.7
CAPA COMUM	2024-04-09T11:08:21.524595	44.9	A Saga dos X-Men Vol. 25	PANINI	2024-06-28	160	17 x 1 x 26 cm	6525916690	978-6525916699		Os X-Men começam a passar por transformações demoníacas em meio à saga épica de Inferno! Em seguida, as equipes dos X-Men e dos X-Factor juntam forças para defender Maddie – exceto que estão na verdade defendendo uma Rainha dos Duendes disfarçada! Será que descobrirão seu truque a tempo? Os Novos Mutantes também já estiveram melhor, forçados agora a enfrentar sozinhos uma horda de demônios quando Magia se transforma definitivamente na sua versão demoníaca! Leia mais	26.0	17.0	1.0
CAPA COMUM	2024-04-15T14:40:37.145492	42.9	Dead Dead Demon s Dededede Destruction Vol. 12	EDITORA JBC	2024-05-30	224	13 x 1.6 x 18 cm	6555946148	978-6555946147		De repente, uma gigantesca nave alienígena surge nos céus de Tóquio. Seriam os visitantes amigos ou inimigos? Três anos se passaram sem resposta. Países até então rivais se aliam para tentar repelir os extraterrestres. Em meio a muita insegurança e informações desencontradas, os moradores da capital japonesa tentam retomar a sua rotina sem saber o que pode acontecer enquanto se questionam o sentido das escolhas que fizeram para a vida. Leia mais	18.0	13.0	1.6
CAPA COMUM	2024-04-09T11:08:43.716461	39.9	Não mexa comigo, Nagotoro 01	PANINI	2024-06-28	160	13.7 x 1 x 20 cm	6525916178	978-6525916170		"Uma kohai me fez chorar...!!"" Um certo dia, quando fui para a biblioteca depois das aulas, uma kohai super-sádica resolveu pegar no meu pé!A garota que mexeu e fez bullying comigo se chamava… Nagatoro-san!É uma peste, mas também fofa. Me faz sofrer, mas quero estar perto dela.Esta é a história de uma menina sádica-amável que pode despertar algo dentro de você.Esta é a tão esperada versão tanko com dois capítulos extras!! Leia mais"	20.0	13.7	1.0
CAPA COMUM	2024-04-15T14:40:40.533438	40.9	Silver Spoon vol. 12	EDITORA JBC	2024-05-29	192	13.2 x 1 x 20 cm	6555946180	978-6555946185		Colégio Agrícola Oezo… um lugar envolto pela vasta e infinita mãe natureza. É nele que estuda Yugo Hachiken… Viver… Sobreviver… Essa é uma história cheia de suor, lágrimas e terra… Leia mais	20.0	13.2	1.0
CAPA COMUM	2024-04-15T14:40:43.805842	79.9	Soul Eater Perfect Edition Vol. 8	EDITORA JBC	2024-05-27	252	15 x 2 x 21 cm	6555946229	978-6555946222		Na escola Shibusen, localizada no estado americano de Nevada, munidos de suas respectivas armas, as artesãs e os artesãos Maka Albarn e Soul Eater Evans; Black Star e Tsubaki Nakatsukasa; e Death the Kid, Patti Thompson e Lizzy Thompson lutam para eliminar os Ovos de Kishins, seres que usam a alma de humanos para se tornarem mais poderosos, e bruxas que vivem aterrorizando o mundo. Leia mais	21.0	15.0	2.0
CAPA COMUM	2024-04-09T11:08:47.856436	39.9	Vou me apaixonar por você mesmo assim 01	PANINI	2024-06-28	176	13.7 x 1.1 x 20 cm	6525916186	978-6525916187		O aniversário de 17 anos de Mizuho, uma garota do segundo ano do colegial, está sendo o pior possível. Além de ter perdido a oportunidade de se aproximar do senpai a quem tanto admira, seu pai se esqueceu completamente da data…Apesar de achar que não existe nada de fascinante na juventude, seu amigo de infância, Kizuki, de repente se candidata a seu namorado…Venha se jogar de cabeça nesse amor brilhante! Este é o tão aguardado primeiro volume desta história que dá um apertozinho no peito!! Leia mais	20.0	13.7	1.1
CAPA COMUM	2024-04-15T14:40:46.994967	39.9	A Heroica Lenda de Arslan Vol. 18	EDITORA JBC	2024-05-27	192	13.2 x 1 x 20 cm	6555945850	978-6555945850		"""As forças de Pars iniciam seu ataque em massa! Começa a batalha pela capital do reino! O príncipe herdeiro, Arslan, observa atentamente o momento para se rebelar na cidade portuária ao sul, Gilan.Na capital, a traição do Máscara de Prata, Hilmes, causou confusão nas tropas de Lusitânia. A tropa inimiga é composta por mais de duzentos mil soldados. Porém, seu real potencial parece ser frágil...Enquanto Arslan avança com os preparativos finais para atacar a capital, Hilmes, aquele que se orgulha da legitimidade de seu sangue real, e o atual rei, Andragoras, também iniciam suas movimentações para tomar o trono de Pars! Chegou a hora de libertar um povo oprimido e seu reino pisoteado.Nosso príncipe herdeiro finalmente parte para a guerra."" Leia mais"	20.0	13.2	1.0
CAPA COMUM	2024-04-09T11:09:04.032338	37.9	Os Dias de Folga do Vilão 01	PANINI	2024-06-28	130	13.7 x 0.8 x 20 cm	652591602X	978-6525916026		Um dos líderes de uma organização maligna que busca invadir a terra luta contra os rangers ― os defensores do planeta ― dia após dia! Porém, hoje ele está de folga. Assumindo uma aparência menos assustadora, ele pode ir ver os pandas no zoológico ou comprar picolés na loja de conveniência. Uma comédia acalentadora que explodiu de popularidade no Twitter e no Pixiv! Leia mais	20.0	13.7	0.8
CAPA COMUM	2024-04-15T14:40:54.020461	57.9	Haikyu!! Vol. 12 - Big	EDITORA JBC	2024-05-24	400	13.2 x 2 x 20 cm	6555946245	978-6555946246		"""Desde que viu o lendário jogador conhecido como “o Pequeno Gigante” competir nas finais nacionais de vôlei, Shoyo Hinata tem como objetivo ser o melhor jogador de vôlei de todos os tempos! Quem disse que você precisa ser alto para jogar vôlei quando consegue pular mais alto do que qualquer outra pessoa?Graças aos seus jogos de treino com as equipes poderosas de Tóquio, Karasuno agora tem um novo arsenal de armas à sua disposição. O novo conjunto rápido de Hinata e Kageyama também está começando a se juntar! As preliminares do Torneio de Primavera estão prestes a começar e Karasuno inicia seu primeiro jogo oficial com a esperança de transformar todas as suas frustrações e derrotas em vitórias!"" Leia mais"	20.0	13.2	2.0
CAPA COMUM	2024-04-09T11:09:14.044278	39.9	Magilumiere: Companhia das Garotas Mágicas 04	PANINI	2024-06-28	200	13.7 x 1.2 x 20 cm	652591597X	978-6525915975		Garota Mágica – A profissão que todo mundo sonha em ter. Para realizar um ajuste exclusivo em sua vassoura, Kana visita Ginji, uma prodigiosa garotinha engenheira reconhece o talento de Kana e constrói para ela uma vassoura nova e multifuncional. Kana está pronta para entrar em campo com sua nova vassoura, porém…?! Em meio a atenção que as técnicas da Magilumiere estão recebendo, Kana é incumbida de instruir uma Garota Mágica transferida…?!TRABALHO x AÇÃO DE GAROTAS MÁGICAS, VOLUME 4!! Leia mais	20.0	13.7	1.2
CAPA COMUM	2024-04-15T14:41:03.044819	74.9	Inuyasha Vol. 09 - Wideban	EDITORA JBC	2024-05-24	352	13 x 2.4 x 18 cm	6555946172	978-6555946178		"""Uma viagem ao Japão medieval, com suas lendas, monstros e magiasA história de Inu-Yasha é inusitada. Kagome é uma jovem estudante de hoje, que vivia no antigo e tradicional Santuário Higurashi, até ser arrastada através de um velho poço no quintal de sua casa por uma Mulher Centopeia. Ela é levada, então, para a Idade Medieval japonesa, uma época em que a Terra era povoada por humanos e youkais (um tipo de demônio mítico).Lá, para se livrar da monstrenga, a garota é obrigada a libertar Inu-Yasha, um jovem meio-youkai poderosíssimo que deseja recuperar a lendária Joia de Quatro Almas (um amuleto mágico que estava de posse dela), para se tornar um youkai de verdade. O talismã, no entanto, acaba se fragmentando e seus pedaços espalhados por todo o Japão feudal. Porém, mesmo um único fragmento da Joia de Quatro Almas é capaz de dar grandes poderes àquele que o tiver, o que leva muitos youkais a saírem à caça deles.Kagome e Inu-Yasha decidem unir forças e partem para recuperar os pedaços da Joia de Quatro Almas. Pelo caminho, eles vivem grandes aventuras e enfrentam youkais malignos, sedentos pelo poder. Ao mesmo tempo, a garota ainda tem que conciliar a sua vida de aventureira no Japão antigo com os estudos no mundo atual."" Leia mais"	18.0	13.0	2.4
CAPA COMUM	2024-04-09T11:09:27.124199	159.9	X-Men: As Maiores Sagas - Atração Fatal	PANINI	2024-06-28	504	17 x 3.2 x 26 cm	6525916666	978-6525916668		Quando os Acólitos de Magneto coordenam ataques cada vez mais poderosos aos não-mutantes em todo lugar, os X-times unem seus esforços para acabar com sua cruzada enlouquecida de uma vez por todas. E quando uma misteriosa doença começa a afetar inúmeros mutantes, tomando as vidas tanto de amigos quanto de inimigos, que X-Man pode não dar conta da pressão? E tudo chegará ao seu auge da maneira mais chocante possível, culminando num ataque inacreditável a Wolverine e numa batalha entre Professor X e Magneto que vai ficar para a história! Leia mais	26.0	17.0	3.2
CAPA COMUM	2024-04-15T14:41:14.172239	59.9	Boa Noite Punpun - Vol. 1	EDITORA JBC	2024-05-20	432	20.07 x 13.21 x 2.79 cm	8545709617	978-8545709619	3.645	Punpun Onodera é um garoto normal, que vive feliz com sua família. Um dia, Aiko Tanaka é transferida para a sua escola. Foi paixão à primeira vista!! Voltando juntos para casa, ela conta que no futuro, “a Terra vai se tornar um planeta inabitável”. É nessa hora que Punpun decide ser um cientista espacial. Porém, bem quando encontra seu objetivo na vida, a sua realidade começa a desmoronar. Considerado por muitos como a obra-prima do aclamado Inio Asano, Boa Noite Punpun é um slice of life que trata de temas delicados como solidão, relações familiares conturbadas e depressão. AUTOR: Inio Asano No. PÁGINAS: 432 Leia mais	20.07	13.21	2.79
